Amazon ML Challenge — Edition Overview,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Edition,Year,Status,Problem statement,Target application,Metric,Train size,Test size,Inputs / modalities,Target / output,Dataset type & quality,Scale / participants,Verified winner / podium,Best public technical evidence,Approx. model scale,Major takeaway for this year,Primary source,,Research KPIs,,,Scoreboard metric,Optimize,Metric formula / scoring logic,Publicly reported winner score,Score verification
Amazon ML Challenge 2021,2021,Completed,"Classify Amazon products into Browse Nodes from catalog metadata such as title, description, bullet points and brand.",Multiclass classification / large-scale NLP,Accuracy,≈2.9M products,≈111K products,"Text metadata: title, description, bullet points, brand","Browse-node ID (≈9,919 classes)","Very large, high-cardinality taxonomy; class imbalance and long-tail category structure; real catalog text.",12K+ registered; 7K+ submissions,1st no_bert_train_challenge (IIT ISM Dhanbad); 2nd DeVaSh.Ai (IIT Guwahati); 3rd Patanjali Noodles (IIT ISM Dhanbad),DeVaSh.Ai public final-solution repo; finalist/Kaggle documentation.,BERT / RoBERTa / MPNet-class encoders; roughly 100M–400M per encoder depending on backbone,"At this scale, representation quality + retrieval/similarity + scalability matter as much as the classifier itself.",https://www.aboutamazon.in/news/job-creation-and-investment/amazon-ml-challenge-a-unique-upskilling-opportunity-to-tackle-a-real-world-problem,,Completed editions documented,5,,Accuracy,Higher,Correct / total,Not reliably archived,Winner identity verified; final score not located
Amazon ML Challenge 2022,2022,Completed — archival gaps,"Amazon confirmed a second ML Challenge in August 2022, but the original public problem statement and reliable archived leaderboard/winner materials were not recoverable.",Unknown from reliable surviving primary sources,—,—,—,Amazon dataset / real-world ML problem; exact modalities not recovered,—,Do not infer 2022 was identical to 2021 without the original statement.,Amazon confirmed the event was to be held in August 2022.,Winner details not reliably verified from surviving public archives,,,Treat 2022 as an archival gap; use only verified primary material and do not backfill from 2021.,https://press.aboutamazon.com/in/2022/6/amazon-india-conducts-two-flagship-programs-to-upskill-machine-learning-talent-in-india,,Winner-level public code identified,2,,Not reliably recoverable,—,Original leaderboard metric not archived,—,2022 archival gap
Amazon ML Challenge 2023,2023,Completed,"Predict the length dimension of an Amazon product using title, description, bullet points and product type ID.",Regression,"MAPE-derived score: max(0,100*(1-MAPE))","2,249,698 rows","734,736 rows",Text + product type ID,Product length,Noisy regression target; highly skewed target; outliers benefit from log transform/clipping; product type is informative.,≈24K–26K participants reported across official/team posts,1st ART in Artificial Intelligence; 2nd Team Fishes; 3rd baked-potatoes / CyberLabs,Team Fishes public final repo; multiple public finalist repos.,BERT-base / RoBERTa-base scale ≈110M each in the strongest public 2nd-place solution,"Transform the target intelligently, use strong pretrained text encoders, and ensemble diverse fine-tuned models.",https://github.com/greenfish8090/AmazonML,,Editions with strong finalist/top-team code,4,,MAPE-derived score,Higher,"max(0, 100 × (1 − MAPE))",Not reliably archived,Formula confirmed in public solution repos
Amazon ML Challenge 2024,2024,Completed,"Extract a requested product entity value (e.g., width, height, depth, weight, voltage, wattage, volume) from a product image.",Image-to-text entity extraction / multimodal VLM,F1,"263,859 labeled rows","131,187 rows",Product images + entity query; OCR / VLM,Normalized entity value + unit,"Noisy images/labels, OCR errors, unit variation, ambiguous dimensions, missing/incorrect examples; duplicates / repeated images can occur.",≈75K participants reported publicly; 20K+ teams cited by top-10 finalist,1st NeuralNinjas; runner-up ART in Artificial Intelligence; Rank 6 DBkaScam,NeuralNinjas winner repo; DBkaScam Rank-6 detailed report; Top-50 technical repo.,Qwen2-VL-7B / MiniCPM-V 2.6 / other ~7–8B VLMs,"Curate the data aggressively, fine-tune a capable VLM, use few-shot + SFT, then ensemble / normalize outputs.",https://github.com/KhadgaA/Amazon-ML-Challenge,,Major archival gap,1,,F1,Higher,2PR / (P + R),0.865 reported by winner repo,Public winner-repo report; not independently verified as final leaderboard score
Amazon ML Challenge 2025,2025,Completed — podium archival gap,"Smart Product Pricing: predict product price from catalog content and product image, without external price lookup.",Multimodal regression / price prediction,SMAPE,"75,000 rows","75,000 rows",Catalog text + product image,Positive product price,"Multimodal, noisy, strongly skewed pricing target; product-pack quantity and brand/category effects matter; no external price lookup.",≈23K teams in one public top-team report; other participant posts cite larger registration counts,Winning score reported publicly at ≈39.7 SMAPE; exact winning team not reliably identified from surviving public sources. Rank 9 and Rank 80 public solutions are documented.,Vishvas Patel Rank-9 public result; ML Mavericks Rank-80 repo; multiple public baseline repos.,CoCa / SigLIP / multimodal encoders from ~0.4B to ~2B+ depending on variant; competition capped models at 8B,Strong validation + multimodal feature engineering + model diversity + ensembling beat relying on one monolithic model.,https://github.com/NeelDevenShah/Amazon-ML-Challenge-2025,,,,,SMAPE,Lower,Mean symmetric absolute percentage error,≈39.7 publicly reported,Public top-team repo cites winning score; not primary-official verification
,,,,,,,,,,,,,,,,,,Year,Train rows,,,,,,
,,,,,,,,,,,,,,,,,,2021,2900000,,,,,,
,,,,,,,,,,,,,,,,,,2022,,,,,,,
,,,,,,,,,,,,,,,,,,2023,2249698,,,,,,
,,,,,,,,,,,,,,,,,,2024,263859,,,,,,
